ra,dec,hr,multiple,vmag,sptype
06h18m50.8s,+69d19m11s,HR2209,G,4.80,A0Vn
06h10m39.9s,-45d16m55s,HR2211,G,6.31,A0V
06h17m33.3s,+14d03m30s,HR2250,G,6.59,A0V
06h27m51.1s,+47d24m19s,HR2314,G,6.56,A0V
06h25m46.6s,+02d16m20s,HR2315,G,6.51,A0V
06h26m44.9s,-07d30m41s,HR2328,G,6.27,A0Vn
06h24m13.7s,-60d16m52s,HR2345,G,5.80,A0V
06h30m05.5s,+09d01m45s,HR2362,G,6.57,A0III
06h32m54.2s,+07d19m59s,HR2385,G,4.50,A0Ib
06h35m12.1s,+28d01m20s,HR2398,G,5.27,A0Vnn
06h34m46.4s,+07d34m21s,HR2404,G,6.45,A0V
06h35m03.4s,-22d57m53s,HR2414,G,4.54,A0V
06h37m42.7s,+16d23m57s,HR2421,W,1.93,A0IV
06h35m24.1s,-36d46m48s,HR2424,W,5.59,A0V
06h34m58.6s,-52d58m32s,HR2435,G,4.39,A0II
06h39m36.3s,-23d41m44s,HR2455,W,6.05,A0
06h55m34.6s,+08d19m29s,HR2584,G,6.29,A0V
06h58m41.8s,-45d46m05s,HR2626,G,6.22,A0V
07h04m20.2s,+01d29m18s,HR2654,W,6.57,A0V
07h02m15.6s,-43d24m15s,HR2658,G,6.43,A0V
07h04m18.3s,-56d44m59s,HR2683,G,5.17,A0pSi
07h25m21.9s,+81d15m27s,HR2709,G,6.31,A0III
07h11m41.6s,-20d52m59s,HR2716,G,5.84,A0V
07h13m13.4s,-45d10m59s,HR2746,G,4.89,A0pSi
07h12m02.0s,-63d11m24s,HR2754,W,6.02,A0IV-V
07h15m47.5s,-23d44m26s,HR2755,G,6.32,A0
07h18m04.1s,+30d57m21s,HR2757,G,6.24,A0Vn
07h14m45.9s,-46d50m59s,HR2761,G,5.72,A0pSi
07h26m03.5s,-04d32m15s,HR2838,G,6.76,A0IV
07h31m42.8s,-35d53m16s,HR2889,W,6.61,A0V
07h34m15.8s,+03d22m17s,HR2901,W,5.81,A0Vnn
07h34m28.8s,-26d07m00s,HR2912,G,6.65,A0V
07h40m07.0s,+05d13m51s,HR2950,G,6.02,A0III
07h38m24.2s,-39d59m29s,HR2952,G,6.59,A0
07h41m35.2s,+03d37m29s,HR2966,G,5.94,A0V
07h44m04.2s,+50d26m02s,HR2969,G,5.27,A0IIIn
07h46m44.9s,-12d40m31s,HR3019,G,6.39,A0V
07h44m13.0s,-69d49m17s,HR3038,G,6.18,A0IV-V
07h52m36.6s,+55d12m34s,HR3039,G,6.38,A0Vn
07h51m00.0s,-24d31m42s,HR3060,G,6.45,A0
07h52m13.0s,-40d34m33s,HR3080,G,3.73,K1-2II+A0
08h04m47.1s,+79d28m47s,HR3082,W,5.42,A0pSi
07h55m39.9s,+19d53m02s,HR3086,G,5.35,A0V
07h58m05.8s,+07d12m49s,HR3103,G,6.41,A0V
08h00m28.9s,-48d52m17s,HR3151,G,6.12,A0pSi
08h05m37.0s,+27d31m47s,HR3164,G,6.21,A0V
08h08m56.9s,-11d20m23s,HR3189,G,6.32,A0Vn
08h14m11.1s,+17d40m33s,HR3228,G,6.47,A0VnDel
08h16m54.2s,-21d19m13s,HR3255,G,6.60,A0
08h18m12.6s,-37d22m27s,HR3267,W,6.70,A0IV+G:
08h22m55.2s,-52d07m26s,HR3300,G,5.85,A0V
08h20m00.7s,-71d30m19s,HR3302,W,5.65,A0IVMn
08h25m39.6s,-03d54m23s,HR3314,G,3.90,A0V
08h22m04.4s,-73d24m00s,HR3334,W,5.29,A0-1IV-V
08h26m25.2s,-52d48m27s,HR3341,G,6.05,A0V
08h31m19.9s,+37d15m57s,HR3348,G,6.18,A0V
08h27m27.4s,-55d00m42s,HR3349,W,6.53,A0V
08h31m30.9s,-19d34m39s,HR3367,G,5.42,A0V
08h27m16.9s,-70d05m36s,HR3370,G,5.53,A0V
08h37m52.2s,-26d15m18s,HR3420,W,5.27,A0V
08h39m13.2s,-60d19m02s,HR3443,W,6.36,A0V
08h39m05.2s,-70d23m13s,HR3460,W,5.20,A0V
08h42m57.0s,-35d56m36s,HR3463,G,6.42,A0V
08h48m26.0s,+05d50m16s,HR3492,G,4.36,A0Vn
08h52m40.8s,-52d07m45s,HR3542,W,6.39,A0V
08h53m03.8s,-56d38m58s,HR3549,G,6.03,A0V
09h02m44.3s,+24d27m10s,HR3595,G,5.45,A0pSi
09h12m12.9s,+03d52m02s,HR3651,G,6.14,A0Vp
09h12m26.0s,-07d06m35s,HR3655,G,6.11,A3III:m+A0V:
09h13m25.9s,-38d36m59s,HR3667,G,6.31,A0V
09h15m24.9s,-15d01m29s,HR3675,G,6.35,A0V
09h17m27.4s,-74d44m05s,HR3721,G,5.86,A0V
09h30m46.1s,-31d53m22s,HR3781,W,6.18,A0V
09h28m30.6s,-66d42m07s,HR3783,G,5.91,A0V
09h33m26.2s,-22d51m50s,HR3810,G,5.91,A0Vn
09h39m47.4s,-10d34m13s,HR3846,G,6.31,A0Vn
09h43m42.2s,-53d53m30s,HR3875,G,5.56,A0IV
09h52m12.2s,+02d27m15s,HR3906,G,6.02,A0V
09h54m51.3s,-50d14m38s,HR3927,G,5.72,A0V
10h03m41.4s,-25d19m00s,HR3962,G,6.70,A0III-IV
10h04m02.9s,-18d06m06s,HR3963,G,5.86,A0V
10h03m20.5s,-46d38m10s,HR3964,G,6.12,A0V
10h07m20.0s,+16d45m46s,HR3975,W,3.52,A0Ib
10h07m56.3s,-00d22m18s,HR3981,G,4.49,A0III
10h00m43.7s,-82d12m53s,HR3983,G,5.52,A0IV
10h08m35.5s,-15d36m42s,HR3986,G,6.27,A0V
10h09m30.5s,-68d41m00s,HR4002,W,5.81,A0IV
10h16m14.4s,+29d18m38s,HR4024,G,5.35,A0Vn
10h18m10.3s,+27d24m55s,HR4041,G,6.52,A0V
10h18m07.6s,-28d59m31s,HR4049,G,5.34,A0Ib-IIp
10h24m07.9s,+65d33m59s,HR4072,G,4.97,A0pSiSr:Hg:
10h21m36.0s,-22d31m42s,HR4073,G,6.51,A0
10h27m39.0s,+09d45m45s,HR4101,G,6.04,A0pSiCr:
10h31m51.4s,+32d22m46s,HR4124,G,5.90,A0IV
10h37m26.8s,-58d44m00s,HR4169,G,5.45,A0Iae
10h38m50.4s,-12d26m37s,HR4172,G,6.04,A0Vn
10h43m43.3s,+57d11m57s,HR4187,G,5.80,A0V
10h42m43.2s,-32d42m57s,HR4194,W,5.64,A0V
10h46m16.8s,-60d36m12s,HR4217,W,6.25,A0IV
10h47m38.0s,-15d15m43s,HR4218,G,6.67,A0III
10h48m05.4s,-59d55m09s,HR4228,G,6.00,A0Ia-Iab
10h55m01.0s,-42d15m04s,HR4263,G,6.11,A0pSiCr
11h05m57.6s,-27d17m16s,HR4317,G,5.71,A0IV
11h12m30.4s,-18d30m00s,HR4347,G,6.13,A0V
11h13m45.6s,-00d04m11s,HR4356,G,5.42,A0V
11h19m36.3s,-75d08m33s,HR4387,G,6.27,B9.5-A0V
11h29m38.6s,-24d27m48s,HR4428,G,5.76,A0V
11h39m29.4s,-65d23m52s,HR4492,W,5.17,G2III+A0V
11h41m19.8s,-43d05m45s,HR4502,G,5.55,A0V
11h53m49.8s,+53d41m41s,HR4554,G,2.44,A0Ve
11h54m11.5s,-57d24m36s,HR4556,G,6.06,A0-1:III
11h56m00.9s,-17d09m03s,HR4567,G,5.18,A0V
11h57m03.7s,-33d18m55s,HR4571,G,6.21,A0V
11h58m54.4s,-25d54m32s,HR4579,G,6.43,A0-1V
